workerid,proliferate.condition,classification,num,sentence,stim,text,trial,type,subject_data.age,subject_data.american,subject_data.assessment,subject_data.comments,subject_data.fairprice,subject_data.gender,subject_data.languages,subject_data.problems,time_in_minutes,error
139,condition1,both,28,"Ten years ago, 106 nations affirmed their dedication to respecting and upholding core democratic values including the right of citizens to choose their representatives through regular, free, and fair elections with universal and equal suffrage; to equal protection under the law; and to freedom…",,To vote,9,legal,31,Yes,Yes,None,The price agreed to.,Male,English,None,11.8781,
192,condition1,both,29,"What happened to those beautiful statutes enunciated in the constitution which guarantee the sanctity of the citizen's life, property, and the many other rights such as the right to freedom…",,to vote,10,legal,24,Yes,Yes,,$5 ,Male,english,,9.4643,
116,condition1,both,21,"Then Peter Gorman offered the winners the chance to work at one of the worst schools in the district. In exchange, the principals would get a raise, freedom…",,to work their way,9,non-legal,40,Yes,Yes,,2.5,Male,English,No,17.90658333,
101,condition1,both,1,"She addressed the Wikosans, using only those words of her language that she knew Benton could understand. ""Choose twelve among you to return to Wikosa. You will tell Wikosa that they may buy your lives and your freedom…",,today,4,non-legal,37,Yes,Yes,none,3.00$,Female,english,no,6.37305,
238,condition1,both,,,I let the dog off leash and he...,took off at a gallop to explore the woods.,,,71,Yes,Yes,"Different, but interesting ",1.6,Female,English ,No,15.14003333,
11,condition1,both,,,I let the dog off leash and he...,Took off running.,,,34,Yes,Yes,N/a,1.5,Female,English ,No,14.33223333,
113,condition1,both,32,"They, more than anyone, understand that what they protect is not a dead soldier, but a symbol of the value we place on those who gave their lives to defend the country they love, its way of life and the freedom…",,we have,4,non-legal,48,Yes,Yes,,2,Male,english,no,6.88615,
118,condition1,both,17,Libraries = Intellectual Freedom. Libraries are already one of the leaders in intellectual freedom. We work hard to ensure privacy and freedom…,,with books,10,non-legal,20,Yes,Yes,,,Female,English,,5.8072,
128,condition1,both,9,Our constitution grants to each citizen the liberty and freedom to determine their own perception of reality. We simply ask each American citizen to exercise their freedom…,,with lawfulness.,10,legal,47,Yes,Yes,Not sure I remember all the meanings related to the founders' documents at this time.,3,Female,English,,27.74066667,
223,condition1,both,9,Our constitution grants to each citizen the liberty and freedom to determine their own perception of reality. We simply ask each American citizen to exercise their freedom…,,without harming others,8,legal,60,Yes,Yes,This was fun!,Yes,Female,English,No,6.5611,
119,condition1,both,9,Our constitution grants to each citizen the liberty and freedom to determine their own perception of reality. We simply ask each American citizen to exercise their freedom…,,without impeding anyone ,2,legal,24,Yes,Yes,Thanks! This was an interesting and refreshing study.,The amount promised upfront,Male,English,No,7.8917,
160,condition1,both,20,"I am thrilled to see Occupy working so constructively to help all those who think they are trapped in debt realize that the trap is to a large extent, comprised simply of intimidation, and that with some of the right kind of guidance and thought, one can get free. Life's problems and our society's problems must still be faced, but once one has attained freedom…",,you can start over.,6,non-legal,28,Yes,Yes,,3,Female,English,no,5.2259,
46,condition1,neither,14,"Human freedom is thus distinct from the kind of freedom talked about by animal liberationists. Human freedom is largely our ability to act free of external constraints, but also freedom…",,??,8,legal,33,Yes,Yes,"Thanks. Didn't understand some of the sentences to really complete them properly, sorry.",1.5,Female,English,No,11.92973333,
146,condition1,neither,34,"It has built 2,000 acres of new islands from sand and coral in the South China Sea, replete with bases and runways. In May, the United States started sending Navy warships to within 12 nautical miles of the islands to assert freedom…",,against their will.,5,non-legal,19,Yes,Yes,N/A,2.03 GBP,Male,English,No,7.343683333,
159,condition1,neither,20,"I am thrilled to see Occupy working so constructively to help all those who think they are trapped in debt realize that the trap is to a large extent, comprised simply of intimidation, and that with some of the right kind of guidance and thought, one can get free. Life's problems and our society's problems must still be faced, but once one has attained freedom…",,all is well,7,non-legal,244,Yes,Yes,,2.4,Male,Engiish,,34.73935,
145,condition1,neither,12,"The prominence of these moguls was so well known it inspired a nickname -- the Boligarchs -- for their fast accumulation of wealth and their ties to the government, which reveres Simon Bolivar, the 19th-century aristocrat who won Venezuela's freedom…",,also won the hearts of citizens ,2,legal,40,Yes,Yes,,3,Female,English ,No,7.6311,
125,condition1,neither,27,"And, son, that's why you don't want to end up like Stan Smith, the White Castle employee who did everything right.' Cause what did it get him? A government job fighting for so-called freedom",,and America,9,non-legal,22,Yes,Yes,,2,Male,English,No,7.098716667,
70,condition1,neither,24,"You've lied to me, held me captive, and separated me from the people I love most in the world. But worst of all, you've used your piety as an excuse to take away my freedom…",,and betrayed my trust,1,non-legal,29,No,Yes,,2.30 pound,Male,English,no,13.55908333,
210,condition1,neither,24,"You've lied to me, held me captive, and separated me from the people I love most in the world. But worst of all, you've used your piety as an excuse to take away my freedom…",,and dignity.,8,non-legal,53,Yes,Yes,,3,Male,English ,none,25.32748333,
146,condition1,neither,23,"I turn to see Grandmother, wiping her eyes and lighting a candle at her shrine. She makes the Sign of the Cross, then tells me a story about the rich man who had everything he wanted except freedom…",,and happiness,1,non-legal,19,Yes,Yes,N/A,2.03 GBP,Male,English,No,7.343683333,
20,condition1,neither,23,"I turn to see Grandmother, wiping her eyes and lighting a candle at her shrine. She makes the Sign of the Cross, then tells me a story about the rich man who had everything he wanted except freedom…",,and he was unsatisfied,8,non-legal,19,Yes,Yes,Great study,$2 ,Female,English,No,7.623716667,
198,condition1,neither,2,"Gov Corbett is moving money away from public schools into an expansion of charter schools and vouchers. Even though the budgets of our school districts have been cut they are required to fund charter schools within the district. ""These institutions give educators the freedom…",,And less restrictions ,5,legal,38,Yes,Yes,,Yes,Female,English,No,16.5609,
125,condition1,neither,34,"It has built 2,000 acres of new islands from sand and coral in the South China Sea, replete with bases and runways. In May, the United States started sending Navy warships to within 12 nautical miles of the islands to assert freedom…",,and liberty,7,non-legal,22,Yes,Yes,,2,Male,English,No,7.098716667,
26,condition1,neither,27,"And, son, that's why you don't want to end up like Stan Smith, the White Castle employee who did everything right.' Cause what did it get him? A government job fighting for so-called freedom",,and nothing else,9,non-legal,59,Yes,Yes,,3-Feb,Female,english,no,19.60933333,
124,condition1,neither,7,"No, substantively, nothing has changed. It might be comforting to dig for the positives but the fact remains that this ruling will keep Obama in the WH. There will be nothing left of freedom…",,and personal choice.,4,legal,59,Yes,Yes,Would love to see the combined results of everyone’s concept of the opportunities we seem to overlook. ,$2.00 ,Male,English,No,22.39773333,
37,condition1,neither,34,"It has built 2,000 acres of new islands from sand and coral in the South China Sea, replete with bases and runways. In May, the United States started sending Navy warships to within 12 nautical miles of the islands to assert freedom…",,and power.,5,non-legal,29,Yes,Yes,,$3 ,Female,English,No,39.45791667,
61,condition1,neither,29,"What happened to those beautiful statutes enunciated in the constitution which guarantee the sanctity of the citizen's life, property, and the many other rights such as the right to freedom…",,and pursuit of happiness,5,legal,20,Yes,Yes,none,yes,Male,English,no,8.67545,
100,condition1,neither,8,"One final commonality, though, is less heartening: many organizations appear scared to death of Enterprise 2.0. They're worried that people will use the new tools and accompanying freedom…",,and stop working,7,non-legal,29,Yes,Yes,,$3.00 ,Male,English,No,5.6954,
98,condition1,neither,23,"I turn to see Grandmother, wiping her eyes and lighting a candle at her shrine. She makes the Sign of the Cross, then tells me a story about the rich man who had everything he wanted except freedom…",,and women,4,non-legal,21,Yes,Yes,no,$3 ,Male,english,no,6.1586,
152,condition1,neither,7,"No, substantively, nothing has changed. It might be comforting to dig for the positives but the fact remains that this ruling will keep Obama in the WH. There will be nothing left of freedom…",,anywhere,9,legal,49,Yes,Yes,,2.5,Female,English,no,10.34678333,
143,condition1,neither,24,"You've lied to me, held me captive, and separated me from the people I love most in the world. But worst of all, you've used your piety as an excuse to take away my freedom…",,as a person,5,non-legal,29,Yes,Yes,"Interesting survey and even a bit education, very enjoyable",3,Male,English,N/A,12.14763333,
195,condition1,neither,31,"When people are allowed to choose and do whatever they want, they end up making bad choices that close off the possibility of other future free choices. So the solution is to maximize their overall freedom by limiting freedom…",,as contradictory as it seems.,3,non-legal,34,Yes,Yes,"I think adding a negative ""this is an example of denying freedom of opportunity"" option for both options would make answering the questions easier.",$2.50 ,Male,English,,8.524716667,
223,condition1,neither,12,"The prominence of these moguls was so well known it inspired a nickname -- the Boligarchs -- for their fast accumulation of wealth and their ties to the government, which reveres Simon Bolivar, the 19th-century aristocrat who won Venezuela's freedom…",,because Chavez was coming later,10,legal,60,Yes,Yes,This was fun!,Yes,Female,English,No,6.5611,
92,condition1,neither,23,"I turn to see Grandmother, wiping her eyes and lighting a candle at her shrine. She makes the Sign of the Cross, then tells me a story about the rich man who had everything he wanted except freedom…",,because money controlled him,3,non-legal,30,Yes,Yes,,2.5,Male,English,None,8.00795,
240,condition1,neither,5,"They work under the premise that safer always is better. A current and continuing case, for instance, involves compulsory helmet laws and motorcyclists' campaign for repeal. Arguments for repeal are basic: freedom…",,being obstructed,2,legal,30,Yes,Yes,,0.8,Male,English,No,6.290283333,
44,condition1,neither,33,"The story of slavery and freedom told so movingly inside the museum, however, is also a painful and shameful narrative heard beyond the building's grounds. Visitors don't have to enter the building to learn about slavery or see symbols of the Black struggle to defend freedom…",,but what it cost,1,non-legal,24,Yes,Yes,,,Male,English,no,5.355033333,
121,condition1,neither,31,"When people are allowed to choose and do whatever they want, they end up making bad choices that close off the possibility of other future free choices. So the solution is to maximize their overall freedom by limiting freedom…",,"By doing this, we decide for the people.",2,non-legal,41,Yes,Yes,,2,Male,English ,N/A,8.004483333,
66,condition1,neither,21,"Then Peter Gorman offered the winners the chance to work at one of the worst schools in the district. In exchange, the principals would get a raise, freedom…",,clout deserving of a rude person,7,non-legal,36,Yes,Yes,"Kind of a cute experiment, although some of the examples were very difficult to follow. Probably would've helped to have more context, or it might not have made a difference.",$2 ,Female,english,"There were various grammar issues in the excerpts, but if they're pulled from actual online texts, then typos and errors are always bound to be abound.",8.48465,
74,condition1,neither,24,"You've lied to me, held me captive, and separated me from the people I love most in the world. But worst of all, you've used your piety as an excuse to take away my freedom…",,E,1,non-legal,25,Yes,Yes,,100,Male,English ,No,1.971283333,
145,condition1,neither,1,"She addressed the Wikosans, using only those words of her language that she knew Benton could understand. ""Choose twelve among you to return to Wikosa. You will tell Wikosa that they may buy your lives and your freedom…",,for a fair amount ,3,non-legal,40,Yes,Yes,,3,Female,English ,No,7.6311,
190,condition1,neither,1,"She addressed the Wikosans, using only those words of her language that she knew Benton could understand. ""Choose twelve among you to return to Wikosa. You will tell Wikosa that they may buy your lives and your freedom…",,for a million dollars.,5,non-legal,51,Yes,Yes,"It made sense, but some of the phrases were hard to make flow. It was understandable, yet challenging.

Best of luck with your research, and have a wonderful day!",It seems so.,Female,English,"None, thank you!",11.63201667,
102,condition1,neither,1,"She addressed the Wikosans, using only those words of her language that she knew Benton could understand. ""Choose twelve among you to return to Wikosa. You will tell Wikosa that they may buy your lives and your freedom…",,for a price.,10,non-legal,35,Yes,Yes,"
None",2.5,Male,"English, Spanish",None,6.666733333,
210,condition1,neither,1,"She addressed the Wikosans, using only those words of her language that she knew Benton could understand. ""Choose twelve among you to return to Wikosa. You will tell Wikosa that they may buy your lives and your freedom…",,for a price.,5,non-legal,53,Yes,Yes,,3,Male,English ,none,25.32748333,
143,condition1,neither,18,"One might argue that anyone prepared to be part of a mob is not a classic, individual-liberty conservative. After all, the American revolution was not, unlike the French, a blood-bath for equality, but a war for freedom…",,for all,6,legal,29,Yes,Yes,"Interesting survey and even a bit education, very enjoyable",3,Male,English,N/A,12.14763333,
150,condition1,neither,34,"It has built 2,000 acres of new islands from sand and coral in the South China Sea, replete with bases and runways. In May, the United States started sending Navy warships to within 12 nautical miles of the islands to assert freedom…",,for all ,2,non-legal,28,Yes,Yes,,$5 ,Other,English,,17.76068333,
25,condition1,neither,26,"Knowing constitutional law requires full knowledge of all four Organic Laws of the United States of America and the only way to acquire that knowledge is to read and study those laws. Together, the Declaration of Independence and the Articles of Confederation provide a path to freedom…",,For all people,7,legal,34,Yes,Yes,,4,Female,English,No,7.874916667,
200,condition1,neither,35,"“It brought a lot of threats from people already saying I'll never work again,"" she told the newspaper. ""If that's what America has come to, where we all hate and bully people, there's no more freedom…",,for anyone,3,non-legal,34,Yes,Yes,none,$3 ,Male,English,none,16.36181667,
190,condition1,neither,35,"“It brought a lot of threats from people already saying I'll never work again,"" she told the newspaper. ""If that's what America has come to, where we all hate and bully people, there's no more freedom…",,for anyone.,7,non-legal,51,Yes,Yes,"It made sense, but some of the phrases were hard to make flow. It was understandable, yet challenging.

Best of luck with your research, and have a wonderful day!",It seems so.,Female,English,"None, thank you!",11.63201667,
65,condition1,neither,31,"When people are allowed to choose and do whatever they want, they end up making bad choices that close off the possibility of other future free choices. So the solution is to maximize their overall freedom by limiting freedom…",,for bad outcomes.,4,non-legal,33,Yes,Yes,,2.03 gbp,Female,English,no,6.024133333,
66,condition1,neither,2,"Gov Corbett is moving money away from public schools into an expansion of charter schools and vouchers. Even though the budgets of our school districts have been cut they are required to fund charter schools within the district. ""These institutions give educators the freedom…",,for bullshit,4,legal,36,Yes,Yes,"Kind of a cute experiment, although some of the examples were very difficult to follow. Probably would've helped to have more context, or it might not have made a difference.",$2 ,Female,english,"There were various grammar issues in the excerpts, but if they're pulled from actual online texts, then typos and errors are always bound to be abound.",8.48465,
187,condition1,neither,27,"And, son, that's why you don't want to end up like Stan Smith, the White Castle employee who did everything right.' Cause what did it get him? A government job fighting for so-called freedom",,For corporate America ,8,non-legal,22,Yes,Yes,,2,Female,English,No,7.344016667,
229,condition1,neither,35,"“It brought a lot of threats from people already saying I'll never work again,"" she told the newspaper. ""If that's what America has come to, where we all hate and bully people, there's no more freedom…",,for me,5,non-legal,36,Yes,Yes,,3,Male,English,No,7.13735,
39,condition1,neither,8,"One final commonality, though, is less heartening: many organizations appear scared to death of Enterprise 2.0. They're worried that people will use the new tools and accompanying freedom…",,for nefarious purposes,7,non-legal,41,Yes,Yes,,3,Female,English,no,6.050266667,
196,condition1,neither,8,"One final commonality, though, is less heartening: many organizations appear scared to death of Enterprise 2.0. They're worried that people will use the new tools and accompanying freedom…",,for nefarious reasons.,9,non-legal,45,Yes,Yes,Thank you for the opportunity to participate!,$5 ,Male,English,No,16.23405,
32,condition1,neither,31,"When people are allowed to choose and do whatever they want, they end up making bad choices that close off the possibility of other future free choices. So the solution is to maximize their overall freedom by limiting freedom…",,For the free,6,non-legal,21,Yes,Yes,,1.5,Male,English,,40.22071667,
161,condition1,neither,4,"It was our Japanese publisher, Sunsoft, who approached us out of the blue asking us if we'd do a game for an older audience. We shared a tremendous amount of mutual respect toward one another and we were given total creative freedom…",,for the game,9,non-legal,22,Yes,Yes,,$2 ,Female,English,no,7.77355,
65,condition1,neither,26,"Knowing constitutional law requires full knowledge of all four Organic Laws of the United States of America and the only way to acquire that knowledge is to read and study those laws. Together, the Declaration of Independence and the Articles of Confederation provide a path to freedom…",,for the individual,5,legal,33,Yes,Yes,,2.03 gbp,Female,English,no,6.024133333,
226,condition1,neither,7,"No, substantively, nothing has changed. It might be comforting to dig for the positives but the fact remains that this ruling will keep Obama in the WH. There will be nothing left of freedom…",,for the people.,8,legal,21,Yes,Yes,,$1.50 ,Male,English,No,8.550316667,
173,condition1,neither,7,"No, substantively, nothing has changed. It might be comforting to dig for the positives but the fact remains that this ruling will keep Obama in the WH. There will be nothing left of freedom…",,for true Americans,3,legal,51,Yes,Yes,n/a,3,Female,English,no,15.5825,
145,condition1,neither,26,"Knowing constitutional law requires full knowledge of all four Organic Laws of the United States of America and the only way to acquire that knowledge is to read and study those laws. Together, the Declaration of Independence and the Articles of Confederation provide a path to freedom…",,for white people.,6,legal,40,Yes,Yes,,3,Female,English ,No,7.6311,
39,condition1,neither,6,"At the time of the Paris Peace Conference, the goal of the conference was described as ""giving birth to a new order to which all mankind is looking for freedom…",,from colonialism,10,legal,41,Yes,Yes,,3,Female,English,no,6.050266667,
100,condition1,neither,27,"And, son, that's why you don't want to end up like Stan Smith, the White Castle employee who did everything right.' Cause what did it get him? A government job fighting for so-called freedom",,from corporate organizations,9,non-legal,29,Yes,Yes,,$3.00 ,Male,English,No,5.6954,
192,condition1,neither,13,"Once I'm airborne, the kite responds like a parachute, slowing my descent. I glide for a few seconds before landing on a feathery cushion of waist-deep joy. But most liberating is the sheer freedom…",,from daily life,1,non-legal,24,Yes,Yes,,$5 ,Male,english,,9.4643,
39,condition1,neither,22,The trip begins in silence as the huge ship departs the Earth transport ship that brought you this far. In comfort you watch as the airship tilts up relative to the planet's surface. You start to feel some freedom…,,from earth,2,non-legal,41,Yes,Yes,,3,Female,English,no,6.050266667,
70,condition1,neither,23,"I turn to see Grandmother, wiping her eyes and lighting a candle at her shrine. She makes the Sign of the Cross, then tells me a story about the rich man who had everything he wanted except freedom…",,from his own desires,6,non-legal,29,No,Yes,,2.30 pound,Male,English,no,13.55908333,
102,condition1,neither,23,"I turn to see Grandmother, wiping her eyes and lighting a candle at her shrine. She makes the Sign of the Cross, then tells me a story about the rich man who had everything he wanted except freedom…",,from loneliness.,5,non-legal,35,Yes,Yes,"
None",2.5,Male,"English, Spanish",None,6.666733333,
28,condition1,neither,21,"Then Peter Gorman offered the winners the chance to work at one of the worst schools in the district. In exchange, the principals would get a raise, freedom…",,from looking for staff.,5,non-legal,60,Yes,Yes,,2.03,Female,English,Not that I noticed.,9.66695,
189,condition1,neither,34,"It has built 2,000 acres of new islands from sand and coral in the South China Sea, replete with bases and runways. In May, the United States started sending Navy warships to within 12 nautical miles of the islands to assert freedom…",,from North Korea.,6,non-legal,26,Yes,Yes,,$2 ,Male,English,No.,7.822416667,
192,condition1,neither,39,"It is an open question which form of the couplet demands the more technique, heroic or romance. All we can be sure of is that each version demands plenty. Perhaps the romance couplet always demanded most, as it headed towards the freedom…",,from nothing,5,non-legal,24,Yes,Yes,,$5 ,Male,english,,9.4643,
51,condition1,neither,7,"No, substantively, nothing has changed. It might be comforting to dig for the positives but the fact remains that this ruling will keep Obama in the WH. There will be nothing left of freedom…",,from obstacles. ,5,legal,28,Yes,Yes,,$1.50 ,Female,English,No,5.217466667,
78,condition1,neither,27,"And, son, that's why you don't want to end up like Stan Smith, the White Castle employee who did everything right.' Cause what did it get him? A government job fighting for so-called freedom",,from oppression,2,non-legal,26,Yes,Yes,,2,Male,English,,3.947566667,
116,condition1,neither,33,"The story of slavery and freedom told so movingly inside the museum, however, is also a painful and shameful narrative heard beyond the building's grounds. Visitors don't have to enter the building to learn about slavery or see symbols of the Black struggle to defend freedom…",,from oppression,8,non-legal,40,Yes,Yes,,2.5,Male,English,No,17.90658333,
190,condition1,neither,18,"One might argue that anyone prepared to be part of a mob is not a classic, individual-liberty conservative. After all, the American revolution was not, unlike the French, a blood-bath for equality, but a war for freedom…",,from rules.,6,legal,51,Yes,Yes,"It made sense, but some of the phrases were hard to make flow. It was understandable, yet challenging.

Best of luck with your research, and have a wonderful day!",It seems so.,Female,English,"None, thank you!",11.63201667,
193,condition1,neither,33,"The story of slavery and freedom told so movingly inside the museum, however, is also a painful and shameful narrative heard beyond the building's grounds. Visitors don't have to enter the building to learn about slavery or see symbols of the Black struggle to defend freedom…",,from slavers ,10,non-legal,20,Yes,Yes,I thought it was interesting ,2,Female,English ,There were no problems ,7.997733333,
199,condition1,neither,20,"I am thrilled to see Occupy working so constructively to help all those who think they are trapped in debt realize that the trap is to a large extent, comprised simply of intimidation, and that with some of the right kind of guidance and thought, one can get free. Life's problems and our society's problems must still be faced, but once one has attained freedom…",,from society,7,non-legal,19,Yes,Yes,Great Survey!,$5 ,Male,English,No,5.808683333,
165,condition1,neither,22,The trip begins in silence as the huge ship departs the Earth transport ship that brought you this far. In comfort you watch as the airship tilts up relative to the planet's surface. You start to feel some freedom…,,from space travel.,6,non-legal,29,Yes,Yes,,$2.40 ,Male,English,None,7.52265,
39,condition1,neither,12,"The prominence of these moguls was so well known it inspired a nickname -- the Boligarchs -- for their fast accumulation of wealth and their ties to the government, which reveres Simon Bolivar, the 19th-century aristocrat who won Venezuela's freedom…",,from Spain,1,legal,41,Yes,Yes,,3,Female,English,no,6.050266667,
65,condition1,neither,22,The trip begins in silence as the huge ship departs the Earth transport ship that brought you this far. In comfort you watch as the airship tilts up relative to the planet's surface. You start to feel some freedom…,,from the earth,10,non-legal,33,Yes,Yes,,2.03 gbp,Female,English,no,6.024133333,
31,condition1,neither,23,"I turn to see Grandmother, wiping her eyes and lighting a candle at her shrine. She makes the Sign of the Cross, then tells me a story about the rich man who had everything he wanted except freedom…",,from the government,8,non-legal,21,Yes,Yes,N/A,3$,Male,english,no,5.902766667,
142,condition1,neither,12,"The prominence of these moguls was so well known it inspired a nickname -- the Boligarchs -- for their fast accumulation of wealth and their ties to the government, which reveres Simon Bolivar, the 19th-century aristocrat who won Venezuela's freedom…",,from the people,8,legal,22,Yes,Yes,none,a dollar seems fair enough,Male,English and Spanish,None,11.58126667,
168,condition1,neither,36,"It was then, at fifteen, when Megan and I met our first humans. Until that point the technicians kept us in atelier tanks -- alive and conscious, fed information and nutrients through a series of cables and tubes. The tanks gave us freedom…",,From thought,6,non-legal,37,Yes,Yes,,2,Male,English ,No,5.921483333,
232,condition1,neither,35,"“It brought a lot of threats from people already saying I'll never work again,"" she told the newspaper. ""If that's what America has come to, where we all hate and bully people, there's no more freedom…",,from violence.,7,non-legal,39,Yes,Yes,Challenging but interesting,5,Female,English,no,10.15596667,
97,condition1,neither,25,"Subjective performance is conceptualized as a combination of both the athletes' perception of their own performance and the athletes' perception of the coaches' perception of the athletes' performance level. Subjective performance correlated best with adversity, concentration, confidence, and freedom…",,I don't know,8,non-legal,38,Yes,Yes,,3,Female,English,,6.856883333,
97,condition1,neither,39,"It is an open question which form of the couplet demands the more technique, heroic or romance. All we can be sure of is that each version demands plenty. Perhaps the romance couplet always demanded most, as it headed towards the freedom…",,I have no idea,2,non-legal,38,Yes,Yes,,3,Female,English,,6.856883333,
31,condition1,neither,7,"No, substantively, nothing has changed. It might be comforting to dig for the positives but the fact remains that this ruling will keep Obama in the WH. There will be nothing left of freedom…",,in america,6,legal,21,Yes,Yes,N/A,3$,Male,english,no,5.902766667,
25,condition1,neither,15,Both the Religious Test Clause and the First Amendment of the Constitution are not guarantees of religious heterogeneity--they are guarantees of a freedom…,,In America,9,legal,34,Yes,Yes,,4,Female,English,No,7.874916667,
84,condition1,neither,7,"No, substantively, nothing has changed. It might be comforting to dig for the positives but the fact remains that this ruling will keep Obama in the WH. There will be nothing left of freedom…",,in America.,1,legal,31,Yes,Yes,N/A.,$5.00 ,Female,English,No,8.8099,
46,condition1,neither,27,"And, son, that's why you don't want to end up like Stan Smith, the White Castle employee who did everything right.' Cause what did it get him? A government job fighting for so-called freedom",,in America.,5,non-legal,33,Yes,Yes,"Thanks. Didn't understand some of the sentences to really complete them properly, sorry.",1.5,Female,English,No,11.92973333,
104,condition1,neither,31,"When people are allowed to choose and do whatever they want, they end up making bad choices that close off the possibility of other future free choices. So the solution is to maximize their overall freedom by limiting freedom…",,in certain areas,5,non-legal,20,Yes,Yes,,$3 ,Female,English,no,10.05431667,
99,condition1,neither,22,The trip begins in silence as the huge ship departs the Earth transport ship that brought you this far. In comfort you watch as the airship tilts up relative to the planet's surface. You start to feel some freedom…,,in endless space,6,non-legal,58,Yes,Yes,none,,Female,english,no,12.89703333,
46,condition1,neither,17,Libraries = Intellectual Freedom. Libraries are already one of the leaders in intellectual freedom. We work hard to ensure privacy and freedom…,,in our libraries.,7,non-legal,33,Yes,Yes,"Thanks. Didn't understand some of the sentences to really complete them properly, sorry.",1.5,Female,English,No,11.92973333,
79,condition1,neither,13,"Once I'm airborne, the kite responds like a parachute, slowing my descent. I glide for a few seconds before landing on a feathery cushion of waist-deep joy. But most liberating is the sheer freedom…",,in the air,1,non-legal,22,Yes,Yes,,3,Male,English,No,7.077333333,
181,condition1,neither,34,"It has built 2,000 acres of new islands from sand and coral in the South China Sea, replete with bases and runways. In May, the United States started sending Navy warships to within 12 nautical miles of the islands to assert freedom…",,in the area.,2,non-legal,60,Yes,Yes,I have no comments,3,Female,English,No,7.448566667,
118,condition1,neither,3,What is the very best way to get the Amazon system to work for you when you're promoting its products? Offering your buyers a wide selection of products to choose from offers them lots of freedom…,,in their decision,4,non-legal,20,Yes,Yes,,,Female,English,,5.8072,
107,condition1,neither,19,"Discovery was also the first Star Trek to be rated TV-MA, which gave the showrunners the freedom…",,insert stereotypes,4,non-legal,53,Yes,Yes,,Can't tell honestly,Male,English,,12.11313333,
232,condition1,neither,1,"She addressed the Wikosans, using only those words of her language that she knew Benton could understand. ""Choose twelve among you to return to Wikosa. You will tell Wikosa that they may buy your lives and your freedom…",,is no longer yours.,5,non-legal,39,Yes,Yes,Challenging but interesting,5,Female,English,no,10.15596667,
61,condition1,neither,31,"When people are allowed to choose and do whatever they want, they end up making bad choices that close off the possibility of other future free choices. So the solution is to maximize their overall freedom by limiting freedom…",,is roundabout,10,non-legal,20,Yes,Yes,none,yes,Male,English,no,8.67545,
132,condition1,neither,5,"They work under the premise that safer always is better. A current and continuing case, for instance, involves compulsory helmet laws and motorcyclists' campaign for repeal. Arguments for repeal are basic: freedom…",,is what our country is about,8,legal,18,,Yes,,,Male,,,16.19745,
66,condition1,neither,1,"She addressed the Wikosans, using only those words of her language that she knew Benton could understand. ""Choose twelve among you to return to Wikosa. You will tell Wikosa that they may buy your lives and your freedom…",,like old time slaves,5,non-legal,36,Yes,Yes,"Kind of a cute experiment, although some of the examples were very difficult to follow. Probably would've helped to have more context, or it might not have made a difference.",$2 ,Female,english,"There were various grammar issues in the excerpts, but if they're pulled from actual online texts, then typos and errors are always bound to be abound.",8.48465,
121,condition1,neither,12,"The prominence of these moguls was so well known it inspired a nickname -- the Boligarchs -- for their fast accumulation of wealth and their ties to the government, which reveres Simon Bolivar, the 19th-century aristocrat who won Venezuela's freedom…",,Money and politics go hand and hand.,7,legal,41,Yes,Yes,,2,Male,English ,N/A,8.004483333,
46,condition1,neither,29,"What happened to those beautiful statutes enunciated in the constitution which guarantee the sanctity of the citizen's life, property, and the many other rights such as the right to freedom…",,no clue,10,legal,33,Yes,Yes,"Thanks. Didn't understand some of the sentences to really complete them properly, sorry.",1.5,Female,English,No,11.92973333,
142,condition1,neither,21,"Then Peter Gorman offered the winners the chance to work at one of the worst schools in the district. In exchange, the principals would get a raise, freedom…",,of a job,9,non-legal,22,Yes,Yes,none,a dollar seems fair enough,Male,English and Spanish,None,11.58126667,
187,condition1,neither,38,"But as your relationship subtly intensified, she choose the practicality and constraint of her and him over the irrationality and freedom…",,Of being single,9,non-legal,22,Yes,Yes,,2,Female,English,No,7.344016667,
103,condition1,neither,20,"I am thrilled to see Occupy working so constructively to help all those who think they are trapped in debt realize that the trap is to a large extent, comprised simply of intimidation, and that with some of the right kind of guidance and thought, one can get free. Life's problems and our society's problems must still be faced, but once one has attained freedom…",,of choice,9,non-legal,38,Yes,Yes,i have no comments,2,Male,english,no,6.233216667,
143,condition1,neither,3,What is the very best way to get the Amazon system to work for you when you're promoting its products? Offering your buyers a wide selection of products to choose from offers them lots of freedom…,,of choice,9,non-legal,29,Yes,Yes,"Interesting survey and even a bit education, very enjoyable",3,Male,English,N/A,12.14763333,
225,condition1,neither,7,"No, substantively, nothing has changed. It might be comforting to dig for the positives but the fact remains that this ruling will keep Obama in the WH. There will be nothing left of freedom…",,of choice,2,legal,76,Yes,Yes,no comment,$2.00 ,Female,English,No,23.9926,
61,condition1,neither,4,"It was our Japanese publisher, Sunsoft, who approached us out of the blue asking us if we'd do a game for an older audience. We shared a tremendous amount of mutual respect toward one another and we were given total creative freedom…",,of choice,9,non-legal,20,Yes,Yes,none,yes,Male,English,no,8.67545,
150,condition1,neither,31,"When people are allowed to choose and do whatever they want, they end up making bad choices that close off the possibility of other future free choices. So the solution is to maximize their overall freedom by limiting freedom…",,of choice,10,non-legal,28,Yes,Yes,,$5 ,Other,English,,17.76068333,
